word,language,category,severity,variants,action
putang ina,Filipino/Tagalog,profanity,high,PUTANG INA | Putang Ina | p u t a n g i n a | p utangina | p*******a | put4ng1n4 | put4ngin4 | put@ng in@ | put@ng1n@ | putang 1na | putang ina | putang-ina,block_and_flag
p u t a n g i n a,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
p utangina,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
putangina,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
puta,Filipino/Tagalog,profanity,high,PUTA | Puta | p u t a | p uta | p**a | put4 | put@ | puta,block_and_flag
p u t a,Filipino/Tagalog,profanity,high,puta,block_and_flag
p uta,Filipino/Tagalog,profanity,high,puta,block_and_flag
pota,Filipino/Tagalog,profanity,high,POTA | Pota | p o t a | p ota | p**a | p0t@ | p0ta | pot4 | pot@ | pota,block_and_flag
p o t a,Filipino/Tagalog,profanity,high,pota,block_and_flag
p ota,Filipino/Tagalog,profanity,high,pota,block_and_flag
tanga,Filipino/Tagalog,insult,medium,TANGA | Tanga | t a n g a | t anga | t***a | t4ng4 | t@ng@ | tanga,warn_and_log
t a n g a,Filipino/Tagalog,insult,medium,tanga,warn_and_log
t anga,Filipino/Tagalog,insult,medium,tanga,warn_and_log
bobo,Filipino/Tagalog,insult,medium,BOBO | Bobo | b o b o | b obo | b**o | b0b0 | bobo,warn_and_log
b o b o,Filipino/Tagalog,insult,medium,bobo,warn_and_log
b obo,Filipino/Tagalog,insult,medium,bobo,warn_and_log
gago,Filipino/Tagalog,insult,high,GAGO | Gago | g a g o | g ago | g**o | g4go | g@g0 | g@go | gag0 | gago,block_and_flag
g a g o,Filipino/Tagalog,insult,high,gago,block_and_flag
g ago,Filipino/Tagalog,insult,high,gago,block_and_flag
tarantado,Filipino/Tagalog,insult,high,TARANTADO | Tarantado | t a r a n t a d o | t arantado | t*******o | t4r4nt4do | t@r@nt@d0 | t@r@nt@do | tarantad0 | tarantado,block_and_flag
t a r a n t a d o,Filipino/Tagalog,insult,high,tarantado,block_and_flag
t arantado,Filipino/Tagalog,insult,high,tarantado,block_and_flag
ulol,Filipino/Tagalog,insult,high,ULOL | Ulol | u l o l | u lol | u**l | ul0l | ulol,block_and_flag
u l o l,Filipino/Tagalog,insult,high,ulol,block_and_flag
u lol,Filipino/Tagalog,insult,high,ulol,block_and_flag
leche,Filipino/Tagalog,profanity,medium,LECHE | Leche | l e c h e | l eche | l***e | l3ch3 | leche,warn_and_log
l e c h e,Filipino/Tagalog,profanity,medium,leche,warn_and_log
l eche,Filipino/Tagalog,profanity,medium,leche,warn_and_log
bwisit,Filipino/Tagalog,profanity,medium,BWISIT | Bwisit | b w i s i t | b wisit | b****t | bw1s1t | bwi$it | bwi5it | bwisit,warn_and_log
b w i s i t,Filipino/Tagalog,profanity,medium,bwisit,warn_and_log
b wisit,Filipino/Tagalog,profanity,medium,bwisit,warn_and_log
walang hiya,Filipino/Tagalog,insult,medium,WALANG HIYA | Walang Hiya | w a l a n g h i y a | w alanghiya | w********a | w4l4ngh1y4 | w4l4nghiy4 | w@l@ng hiy@ | w@l@ngh1y@ | walang h1ya | walang hiya | walang-hiya,warn_and_log
w a l a n g h i y a,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
w alanghiya,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
walanghiya,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
sira ulo,Filipino/Tagalog,insult,medium,$ira ulo | 5iraulo | SIRA ULO | Sira Ulo | s i r a u l o | s iraulo | s*****o | s1r4ulo | s1r@ul0 | s1ra ul0 | s1ra ulo | s1raulo,warn_and_log
s i r a u l o,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
s iraulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
siraulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
hayop,Filipino/Tagalog,insult,medium,HAYOP | Hayop | h a y o p | h ayop | h***p | h4yop | h@y0p | h@yop | hay0p | hayop,warn_and_log
h a y o p,Filipino/Tagalog,insult,medium,hayop,warn_and_log
h ayop,Filipino/Tagalog,insult,medium,hayop,warn_and_log
pakyu,Filipino/Tagalog,profanity,high,PAKYU | Pakyu | p a k y u | p akyu | p***u | p4kyu | p@kyu | pakyu,block_and_flag
p a k y u,Filipino/Tagalog,profanity,high,pakyu,block_and_flag
p akyu,Filipino/Tagalog,profanity,high,pakyu,block_and_flag
fuck,English,profanity,high,FUCK | Fuck | f u c k | f uck | f**k | fuck,block_and_flag
f u c k,English,profanity,high,fuck,block_and_flag
f uck,English,profanity,high,fuck,block_and_flag
fucking,English,profanity,high,FUCKING | Fucking | f u c k i n g | f ucking | f*****g | fuck1ng | fucking,block_and_flag
f u c k i n g,English,profanity,high,fucking,block_and_flag
f ucking,English,profanity,high,fucking,block_and_flag
shit,English,profanity,high,$hit | 5hit | SHIT | Shit | s h i t | s hit | s**t | sh1t | shit,block_and_flag
s h i t,English,profanity,high,shit,block_and_flag
s hit,English,profanity,high,shit,block_and_flag
bullshit,English,profanity,high,BULLSHIT | Bullshit | b u l l s h i t | b ullshit | b******t | bull$hit | bull5hit | bullsh1t | bullshit,block_and_flag
b u l l s h i t,English,profanity,high,bullshit,block_and_flag
b ullshit,English,profanity,high,bullshit,block_and_flag
bitch,English,insult,high,BITCH | Bitch | b i t c h | b itch | b***h | b1tch | bitch,block_and_flag
b i t c h,English,insult,high,bitch,block_and_flag
b itch,English,insult,high,bitch,block_and_flag
asshole,English,insult,high,4sshol3 | 4sshole | @ssh0le | @sshol3 | @sshole | ASSHOLE | Asshole | a s s h o l e | a sshole | a$$hole | a*****e | a55hole,block_and_flag
a s s h o l e,English,insult,high,asshole,block_and_flag
a sshole,English,insult,high,asshole,block_and_flag
bastard,English,insult,medium,BASTARD | Bastard | b a s t a r d | b astard | b*****d | b4st4rd | b@st@rd | ba$tard | ba5tard | bastard,warn_and_log
b a s t a r d,English,insult,medium,bastard,warn_and_log
b astard,English,insult,medium,bastard,warn_and_log
damn,English,profanity,medium,DAMN | Damn | d a m n | d amn | d**n | d4mn | d@mn | damn,warn_and_log
d a m n,English,profanity,medium,damn,warn_and_log
d amn,English,profanity,medium,damn,warn_and_log
dick,English,sexual,high,DICK | Dick | d i c k | d ick | d**k | d1ck | dick,block_and_flag
d i c k,English,sexual,high,dick,block_and_flag
d ick,English,sexual,high,dick,block_and_flag
piss off,English,profanity,medium,PISS OFF | Piss Off | p i s s o f f | p issoff | p*****f | p1ss 0ff | p1ss off | p1ss0ff | p1ssoff | pi$$ off | pi55off | piss 0ff,warn_and_log
p i s s o f f,English,profanity,medium,piss off,warn_and_log
p issoff,English,profanity,medium,piss off,warn_and_log
pissoff,English,profanity,medium,piss off,warn_and_log
son of a bitch,English,insult,high,$on of a bitch | 5onofabitch | SON OF A BITCH | Son Of A Bitch | s o n o f a b i t c h | s onofabitch | s*********h | s0n 0f a b1tch | s0n 0f a bitch | s0n0f@b1tch | s0n0fabitch | son of @ bitch,block_and_flag
s o n o f a b i t c h,English,insult,high,son of a bitch,block_and_flag
s onofabitch,English,insult,high,son of a bitch,block_and_flag
sonofabitch,English,insult,high,son of a bitch,block_and_flag
shut up,English,insult,low,$hut up | 5hutup | SHUT UP | Shut Up | s h u t u p | s hutup | s****p | shut up | shut-up | shut_up | shutup,allow_with_warning
s h u t u p,English,insult,low,shut up,allow_with_warning
s hutup,English,insult,low,shut up,allow_with_warning
shutup,English,insult,low,shut up,allow_with_warning
idiot,English,insult,low,1d10t | 1d1ot | IDIOT | Idiot | i d i o t | i diot | i***t | idi0t | idiot,allow_with_warning
i d i o t,English,insult,low,idiot,allow_with_warning
i diot,English,insult,low,idiot,allow_with_warning
stupid,English,insult,low,$tupid | 5tupid | STUPID | Stupid | s t u p i d | s tupid | s****d | stup1d | stupid,allow_with_warning
s t u p i d,English,insult,low,stupid,allow_with_warning
s tupid,English,insult,low,stupid,allow_with_warning
moron,English,insult,medium,MORON | Moron | m o r o n | m oron | m***n | m0r0n | moron,warn_and_log
m o r o n,English,insult,medium,moron,warn_and_log
m oron,English,insult,medium,moron,warn_and_log
jerk,English,insult,low,JERK | Jerk | j e r k | j erk | j**k | j3rk | jerk,allow_with_warning
j e r k,English,insult,low,jerk,allow_with_warning
j erk,English,insult,low,jerk,allow_with_warning
jackass,English,insult,medium,JACKASS | Jackass | j a c k a s s | j ackass | j*****s | j4ck4ss | j@ck@ss | jacka$$ | jacka55 | jackass,warn_and_log
j a c k a s s,English,insult,medium,jackass,warn_and_log
j ackass,English,insult,medium,jackass,warn_and_log
ass,English,profanity,medium,4ss | @ss | ASS | Ass | a$$ | a55 | ass,warn_and_log
motherfucker,English,profanity,high,MOTHERFUCKER | Motherfucker | m o t h e r f u c k e r | m otherfucker | m**********r | m0therfucker | moth3rfuck3r | motherfucker,block_and_flag
m o t h e r f u c k e r,English,profanity,high,motherfucker,block_and_flag
m otherfucker,English,profanity,high,motherfucker,block_and_flag
mother fucker,English,profanity,high,MOTHER FUCKER | Mother Fucker | m o t h e r f u c k e r | m otherfucker | m**********r | m0ther fucker | m0therfucker | moth3r fuck3r | moth3rfuck3r | mother fucker | mother-fucker | mother_fucker,block_and_flag
wtf,English,profanity,medium,WTF | Wtf | wtf,warn_and_log
stfu,English,insult,medium,$tfu | 5tfu | STFU | Stfu | s t f u | s tfu | s**u | stfu,warn_and_log
s t f u,English,insult,medium,stfu,warn_and_log
s tfu,English,insult,medium,stfu,warn_and_log
pisti,Cebuano,profanity,medium,PISTI | Pisti | p i s t i | p isti | p***i | p1st1 | pi$ti | pi5ti | pisti,warn_and_log
p i s t i,Cebuano,profanity,medium,pisti,warn_and_log
p isti,Cebuano,profanity,medium,pisti,warn_and_log
yawa,Cebuano,profanity,high,YAWA | Yawa | y a w a | y awa | y**a | y4w4 | y@w@ | yawa,block_and_flag
y a w a,Cebuano,profanity,high,yawa,block_and_flag
y awa,Cebuano,profanity,high,yawa,block_and_flag
buang,Cebuano,insult,high,BUANG | Buang | b u a n g | b uang | b***g | bu4ng | bu@ng | buang,block_and_flag
b u a n g,Cebuano,insult,high,buang,block_and_flag
b uang,Cebuano,insult,high,buang,block_and_flag
bogo,Cebuano,insult,medium,BOGO | Bogo | b o g o | b ogo | b**o | b0g0 | bogo,warn_and_log
b o g o,Cebuano,insult,medium,bogo,warn_and_log
b ogo,Cebuano,insult,medium,bogo,warn_and_log
